time;device_id;msg_type;position_time;lat;lon
06/08/2024 22:16;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
06/08/2024 22:31;229175;poll_msg;06/08/2024 21:20;383825525;-26987128
06/08/2024 22:46;229175;seq_msg;;;
06/08/2024 22:46;229175;poll_msg;06/08/2024 22:46;383827016;-26986778
06/08/2024 23:01;229175;poll_msg;06/08/2024 23:00;383824391;-26988079
06/08/2024 23:16;229175;seq_msg;;;
06/08/2024 23:17;229175;poll_msg;06/08/2024 23:16;383824143;-26988019
06/08/2024 23:32;229175;poll_msg;06/08/2024 23:32;383824245;-26989055
06/08/2024 23:46;229175;seq_msg;;;
06/08/2024 23:47;229175;poll_msg;06/08/2024 23:36;383823494;-26987854
